186.233.192.0/24,BR,BR-MG,Japaraiba,
186.233.193.0/24,BR,BR-MG,Arcos,
186.233.194.0/23,BR,BR-MG,Arcos,
186.233.196.0/22,BR,BR-MG,Arcos,
